iso1,iso2,group,community,Sex_Age
-24.341,6.734,base,East,F_ADU
-24.206,8.438,base,West,F_YOY
-24.077,8.095,base,West,F_ADU
-23.996,8.433,base,West,F_ADU
-23.912,6.914,base,East,F_ADU
-23.892,6.252,base,East,F_ADU
-23.868,7.783,base,East,F_ADU
-23.82,6.876,base,West,F_ADU
-23.814,7.174,base,West,F_ADU
-23.802,7.953,base,East,F_ADU
-23.793,7.611,base,East,F_ADU
-23.781,6.105,base,East,F_ADU
-23.768,7.053,base,East,F_ADU
-23.746,8.077,base,East,F_ADU
-23.741,7.657,base,East,F_ADU
-23.73,7.724,base,East,F_ADU
-23.707,7.371,base,East,F_ADU
-23.704,8.85,base,East,F_ADU
-23.677,8.616,base,East,F_ADU
-23.656,7.88,base,West,F_ADU
-23.637,6.801,base,West,F_ADU
-23.609,7.275,base,East,F_ADU
-23.606,7.876,base,East,F_ADU
-23.605,7.781,base,West,F_ADU
-23.597,7.635,base,West,F_ADU
-23.593,8.978,base,West,F_ADU
-23.477,7.669,base,West,F_ADU
-23.477,9.151,base,West,F_ADU
-23.443,7.35,base,West,F_ADU
-23.442,8.837,base,West,F_ADU
-23.442,9.289,base,West,F_ADU
-23.433,8.972,base,West,F_ADU
-23.386,8.346,base,West,F_ADU
-23.357,6.959,base,East,F_ADU
-23.35,6.457,base,East,F_ADU
-23.314,8.33,base,West,F_ADU
-23.263,5.895,base,East,F_ADU
-23.249,8.621,base,West,F_ADU
-23.224,8.696,base,West,F_ADU
-23.222,8.589,base,West,F_YOY
-23.179,8.315,base,West,F_ADU
-23.149,7.912,base,East,F_ADU
-23.135,8.828,base,West,F_ADU
-23.133,6.865,base,East,F_ADU
-23.118,5.685,base,East,F_ADU
-23.076,9.068,base,West,F_ADU
-23.047,9.178,base,West,F_ADU
-23.021,6.669,base,East,F_ADU
-22.973,7.064,base,East,F_ADU
-22.958,9.279,base,West,F_ADU
-22.957,8.439,base,West,F_ADU
-22.94,8.353,base,East,F_ADU
-22.932,8.721,base,West,F_YOY
-22.908,6.972,base,East,F_ADU
-22.906,8.15,base,West,F_ADU
-22.892,9.375,base,West,F_ADU
-22.868,8.637,base,West,F_ADU
-22.855,8.828,base,West,F_ADU
-22.854,7.069,base,East,F_ADU
-22.819,9.149,base,East,F_ADU
-22.779,8.292,base,East,F_ADU
-22.687,6.918,base,East,F_ADU
-22.595,5.891,base,East,F_ADU
-22.545,9.055,base,West,F_ADU
-22.54,6.65,base,East,F_ADU
-22.449,4.643,base,East,F_ADU
-22.383,7.566,base,East,F_ADU
-22.158,8.965,base,East,F_ADU
-22.109,9.956,base,West,F_ADU
-21.994,8.224,base,East,F_ADU
-21.727,6.377,base,East,F_ADU
-24.289,7.123,tip,East,F_ADU
-24.057,7.271,tip,East,F_ADU
-24.024,6.829,tip,East,F_ADU
-23.986,8.259,tip,East,F_ADU
-23.93,7.709,tip,East,F_ADU
-23.805,7.127,tip,East,F_ADU
-23.799,7.065,tip,West,F_ADU
-23.601,8.518,tip,West,F_ADU
-23.592,7.841,tip,East,F_ADU
-23.486,7.521,tip,East,F_ADU
-23.384,8.639,tip,West,F_ADU
-23.34,7.126,tip,West,F_ADU
-23.335,9.42,tip,West,F_ADU
-23.326,7.905,tip,East,F_ADU
-23.314,8.94,tip,West,F_ADU
-23.263,7.181,tip,East,F_ADU
-23.193,6.416,tip,East,F_ADU
-23.146,8.683,tip,West,F_YOY
-23.137,8.479,tip,East,F_ADU
-23.135,8.591,tip,West,F_YOY
-23.108,7.211,tip,West,F_ADU
-23.101,9.061,tip,West,F_ADU
-23.098,8.781,tip,West,F_ADU
-23.077,8.242,tip,East,F_ADU
-23.071,8.258,tip,West,F_ADU
-23.068,8.599,tip,West,F_ADU
-22.968,8.273,tip,West,F_ADU
-22.94,8.677,tip,East,F_ADU
-22.907,7.856,tip,East,F_ADU
-22.889,8.888,tip,West,F_ADU
-22.819,6.684,tip,West,F_ADU
-22.816,9.144,tip,West,F_ADU
-22.791,8.868,tip,West,F_ADU
-22.784,8.77,tip,East,F_ADU
-22.778,7.79,tip,East,F_ADU
-22.743,6.71,tip,East,F_ADU
-22.725,8.479,tip,East,F_ADU
-22.719,9.376,tip,West,F_ADU
-22.682,8.36,tip,East,F_ADU
-22.642,8.888,tip,West,F_ADU
-22.636,8.002,tip,West,F_ADU
-22.627,9.141,tip,West,F_YOY
-22.601,9.393,tip,West,F_ADU
-22.597,7.773,tip,East,F_ADU
-22.593,7.628,tip,West,F_ADU
-22.591,8.676,tip,West,F_ADU
-22.584,7.727,tip,West,F_ADU
-22.583,9.17,tip,West,F_ADU
-22.58,8.918,tip,East,F_ADU
-22.558,6.967,tip,West,F_ADU
-22.558,8.832,tip,West,F_ADU
-22.523,8.512,tip,West,F_ADU
-22.49,5.11,tip,East,F_ADU
-22.446,6.105,tip,East,F_ADU
-22.437,6.474,tip,East,F_ADU
-22.392,7.417,tip,East,F_ADU
-22.382,7.22,tip,West,F_ADU
-22.263,7.756,tip,West,F_ADU
-22.107,6.811,tip,East,F_ADU
-22.105,4.869,tip,East,F_ADU
-22.093,6.989,tip,East,F_ADU
-22.089,7.74,tip,East,F_ADU
-22.056,9.448,tip,West,F_ADU
-21.85,8.719,tip,West,F_ADU
-21.826,6.96,tip,East,F_ADU
-21.818,7.235,tip,East,F_ADU
-21.785,5.781,tip,East,F_ADU
-21.694,7.771,tip,East,F_ADU
-21.457,8.037,tip,East,F_ADU
-21.397,4.794,tip,East,F_ADU
-21.322,7.958,tip,East,F_ADU
-24.262,7.482,mid,East,F_ADU
-24.179,7.094,mid,West,F_ADU
-24.152,6.665,mid,East,F_ADU
-24.121,7.102,mid,East,F_ADU
-24.112,6.938,mid,East,F_ADU
-23.915,7.168,mid,West,F_ADU
-23.902,8.402,mid,West,F_ADU
-23.896,6.533,mid,East,F_ADU
-23.821,8.42,mid,East,F_ADU
-23.811,7.372,mid,West,F_ADU
-23.731,7.952,mid,East,F_ADU
-23.716,8.034,mid,East,F_ADU
-23.705,6.183,mid,East,F_ADU
-23.687,8.227,mid,West,F_ADU
-23.639,8.42,mid,West,F_ADU
-23.635,8.324,mid,East,F_ADU
-23.6,8.029,mid,West,F_YOY
-23.567,7.384,mid,East,F_ADU
-23.527,8.386,mid,West,F_ADU
-23.495,7.087,mid,West,F_ADU
-23.466,5.129,mid,East,F_ADU
-23.457,6.568,mid,East,F_ADU
-23.442,6.821,mid,East,F_ADU
-23.42,8.952,mid,East,F_ADU
-23.418,7.035,mid,East,F_ADU
-23.408,8.703,mid,West,F_ADU
-23.387,8.757,mid,West,F_ADU
-23.377,7.762,mid,East,F_ADU
-23.376,8.395,mid,West,F_YOY
-23.371,7.517,mid,East,F_ADU
-23.369,8.614,mid,West,F_ADU
-23.345,9.242,mid,West,F_ADU
-23.344,7.527,mid,East,F_ADU
-23.329,7.615,mid,West,F_ADU
-23.265,7.835,mid,East,F_ADU
-23.207,9.472,mid,West,F_ADU
-23.205,8.592,mid,West,F_ADU
-23.199,7.3,mid,East,F_ADU
-23.168,8.394,mid,East,F_ADU
-23.154,9.621,mid,West,F_ADU
-23.116,8.974,mid,West,F_ADU
-23.086,7.073,mid,East,F_ADU
-23.075,9.317,mid,West,F_ADU
-23.069,7.247,mid,East,F_ADU
-23.063,9.278,mid,West,F_ADU
-23.006,9.185,mid,West,F_ADU
-22.98,7.623,mid,East,F_ADU
-22.953,8.545,mid,West,F_ADU
-22.95,8.915,mid,East,F_ADU
-22.945,8.78,mid,West,F_ADU
-22.942,9.157,mid,West,F_YOY
-22.902,7.727,mid,West,F_ADU
-22.879,9.402,mid,West,F_ADU
-22.861,5.368,mid,East,F_ADU
-22.8,8.296,mid,West,F_ADU
-22.755,8.66,mid,West,F_ADU
-22.705,8.914,mid,West,F_ADU
-22.643,9.03,mid,East,F_ADU
-22.538,8.129,mid,West,F_ADU
-22.534,9.314,mid,West,F_ADU
-22.472,6.102,mid,East,F_ADU
-22.433,7.751,mid,East,F_ADU
-22.419,9.218,mid,West,F_ADU
-22.404,6.444,mid,East,F_ADU
-22.36,7.941,mid,East,F_ADU
-22.311,5.586,mid,East,F_ADU
-22.207,4.357,mid,East,F_ADU
-22.121,6.841,mid,East,F_ADU
-22.023,7.983,mid,East,F_ADU
-21.838,9.645,mid,West,F_ADU
-21.794,8.125,mid,East,F_ADU
